Date,Order ID,Item Name,Category,Quantity,Item Price,Discount,GST,Delivery Charges,Customer Paid Amount,Net Sales,Payment Method,Order Status
2025-09-01,SWG100001,Masala Dosa,South Indian,1,140.00,7.00,6.65,0.00,139.65,133.00,UPI,Delivered
2025-09-01,SWG100002,Gulab Jamun,Desserts,1,90.00,0.00,4.50,0.00,94.50,90.00,UPI,Delivered
2025-09-01,SWG100003,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,20.00,180.65,153.00,Debit Card,Delivered
2025-09-01,SWG100004,Chicken Biryani,Biryani,2,440.00,22.00,20.90,40.00,478.90,418.00,Credit Card,Delivered
2025-09-01,SWG100005,Veg Biryani,Biryani,3,540.00,54.00,24.30,0.00,510.30,486.00,UPI,Delivered
2025-09-01,SWG100006,Chicken Tikka,Starters,2,520.00,52.00,23.40,0.00,491.40,468.00,UPI,Delivered
2025-09-01,SWG100007,Paneer Tikka,Starters,1,230.00,23.00,10.35,30.00,247.35,207.00,UPI,Delivered
2025-09-01,SWG100008,Chicken Biryani,Biryani,1,220.00,22.00,9.90,0.00,207.90,198.00,UPI,Delivered
2025-09-01,SWG100009,Paneer Tikka,Starters,1,230.00,23.00,10.35,20.00,237.35,207.00,Credit Card,Delivered
2025-09-01,SWG100010,Masala Dosa,South Indian,1,140.00,0.00,7.00,20.00,167.00,140.00,Credit Card,Delivered
2025-09-01,SWG100011,Butter Naan,Breads,1,60.00,6.00,2.70,20.00,76.70,54.00,UPI,Delivered
2025-09-01,SWG100012,Veg Biryani,Biryani,2,360.00,36.00,16.20,40.00,380.20,324.00,Credit Card,Delivered
2025-09-01,SWG100013,Gulab Jamun,Desserts,2,180.00,18.00,8.10,20.00,190.10,162.00,Cash,Delivered
2025-09-01,SWG100014,Fried Rice,Rice & Noodles,1,170.00,8.50,8.08,20.00,189.58,161.50,Debit Card,Delivered
2025-09-01,SWG100015,Gulab Jamun,Desserts,1,90.00,13.50,3.83,30.00,110.33,76.50,Credit Card,Delivered
2025-09-01,SWG100016,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,0.00,189.00,180.00,Credit Card,Delivered
2025-09-01,SWG100017,Paneer Tikka,Starters,1,230.00,34.50,9.78,40.00,245.28,195.50,Cash,Delivered
2025-09-02,SWG100018,Hakka Noodles,Rice & Noodles,1,180.00,0.00,9.00,0.00,189.00,180.00,Debit Card,Delivered
2025-09-02,SWG100019,Chicken Tikka,Starters,1,260.00,39.00,11.05,20.00,252.05,221.00,Debit Card,Delivered
2025-09-02,SWG100020,Hakka Noodles,Rice & Noodles,2,360.00,0.00,18.00,30.00,408.00,360.00,Credit Card,Delivered
2025-09-02,SWG100021,Butter Naan,Breads,1,60.00,3.00,2.85,0.00,59.85,57.00,Cash,Delivered
2025-09-02,SWG100022,Chicken Biryani,Biryani,1,220.00,22.00,9.90,30.00,237.90,198.00,Credit Card,Delivered
2025-09-02,SWG100023,Gulab Jamun,Desserts,2,180.00,0.00,9.00,40.00,229.00,180.00,Credit Card,Delivered
2025-09-02,SWG100024,Butter Naan,Breads,1,60.00,3.00,2.85,30.00,89.85,57.00,Cash,Delivered
2025-09-02,SWG100025,Veg Biryani,Biryani,2,360.00,18.00,17.10,30.00,389.10,342.00,Debit Card,Delivered
2025-09-02,SWG100026,Fried Rice,Rice & Noodles,2,340.00,51.00,14.45,0.00,303.45,289.00,UPI,Delivered
2025-09-02,SWG100027,Chicken Tikka,Starters,1,260.00,13.00,12.35,20.00,279.35,247.00,UPI,Delivered
2025-09-02,SWG100028,Veg Biryani,Biryani,1,180.00,0.00,9.00,30.00,219.00,180.00,Credit Card,Delivered
2025-09-02,SWG100029,Masala Dosa,South Indian,1,140.00,7.00,6.65,20.00,159.65,133.00,Cash,Delivered
2025-09-02,SWG100030,Veg Biryani,Biryani,2,360.00,54.00,15.30,20.00,341.30,306.00,Cash,Delivered
2025-09-02,SWG100031,Chicken Tikka,Starters,1,260.00,39.00,11.05,0.00,232.05,221.00,UPI,Delivered
2025-09-02,SWG100032,Chicken Biryani,Biryani,1,220.00,22.00,9.90,0.00,207.90,198.00,Credit Card,Delivered
2025-09-02,SWG100033,Hakka Noodles,Rice & Noodles,1,180.00,27.00,7.65,20.00,180.65,153.00,Credit Card,Delivered
2025-09-02,SWG100034,Paneer Butter Masala,Main Course,1,240.00,0.00,12.00,0.00,252.00,240.00,UPI,Delivered
2025-09-03,SWG100035,Veg Biryani,Biryani,1,180.00,27.00,7.65,40.00,200.65,153.00,Cash,Delivered
2025-09-03,SWG100036,Chicken Biryani,Biryani,1,220.00,0.00,11.00,40.00,271.00,220.00,Cash,Delivered
2025-09-03,SWG100037,Masala Dosa,South Indian,1,140.00,21.00,5.95,20.00,144.95,119.00,Credit Card,Delivered
2025-09-03,SWG100038,Chicken Biryani,Biryani,1,220.00,0.00,11.00,30.00,261.00,220.00,Cash,Delivered
